time,state,depth_m,hold_depth_m,yaw_deg,roll_deg,pitch_deg,battery_voltage_v,battery_current_a,battery_remaining_pct,pressure_hpa,pressure_temperature_c,stabilize,depth_hold_active,yaw_hold_active,gain_percent,control_timeout,mavlink_link_dead
1782396175.7987597,OK,0.0,0.0,64.18088030867379,-10.388646004470738,5.683797236109211,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396175.8994272,OK,0.0,0.0,64.18707049524683,-10.383190316812838,5.685619292836845,,,,1014.0,21.97,0,0,0,100,0,0
1782396176.0000906,OK,0.0,0.0,64.19151905173571,-10.38271821674754,5.688413701890103,,,,1014.0999755859375,21.97,0,0,0,100,0,0
1782396176.100757,OK,0.0,0.0,64.19271304595813,-10.383932303344796,5.689341210587143,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396176.2014322,OK,0.0,0.0,64.19584176328782,-10.385568489955546,5.686910437534502,,,,1014.0,21.97,0,0,0,100,0,0
1782396176.302184,OK,0.0,0.0,64.19789732128855,-10.379152130774878,5.6872166076637,,,,1014.0999755859375,21.97,0,0,0,100,0,0
1782396176.4087858,OK,0.0,0.0,64.20066773320686,-10.385017704459083,5.687664009754317,,,,1013.699951171875,21.96,0,0,0,100,0,0
1782396176.5095654,OK,0.0,0.0,64.2009623647692,-10.379112981426262,5.686044852736472,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396176.6108816,OK,0.0,0.0,64.20165646542002,-10.387810415491277,5.686355063793178,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396176.711717,OK,0.0,0.0,64.20691046727546,-10.381158152257429,5.687272546351126,,,,1014.0,21.97,0,0,0,100,0,0
1782396176.8124533,OK,0.0,0.0,64.20791824763172,-10.386664825378102,5.687078952094591,,,,1013.5,21.97,0,0,0,100,0,0
1782396176.9131696,OK,0.0,0.0,64.2100802940281,-10.386417253135818,5.686477407498756,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396177.013962,OK,0.0,0.0,64.2109614116554,-10.386557590649476,5.6842282383615546,,,,1013.5999755859375,21.96,0,0,0,100,0,0
1782396177.1146393,OK,0.0,0.0,64.21385569930835,-10.38633406214733,5.686511091851298,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396177.2153723,OK,0.0,0.0,64.21876574271664,-10.382295745240581,5.686064519393289,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396177.316073,OK,0.0,0.0,64.2215813044027,-10.38338802409584,5.686014985561835,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396177.4167156,OK,0.0,0.0,64.22500524115478,-10.386022401329475,5.68540119437837,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396177.5173807,OK,0.0,0.0,64.22043057743379,-10.387546469692596,5.683863086300515,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396177.618059,OK,0.0,0.0,64.22341734452051,-10.38480994886819,5.683636692465528,,,,1014.2999877929688,21.97,0,0,0,100,0,0
1782396177.7187278,OK,0.0,0.0,64.22447997467181,-10.380379996768124,5.684594221577703,,,,1014.2999877929688,21.97,0,0,0,100,0,0
1782396177.8194234,OK,0.0,0.0,64.22923443467509,-10.377718003112413,5.683507900345872,,,,1014.0,21.96,0,0,0,100,0,0
1782396177.9201043,OK,0.0,0.0,64.23062728070724,-10.373800643926657,5.682459148749768,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396178.0207744,OK,0.0,0.0,64.2377077341765,-10.38368465715216,5.685199030951509,,,,1014.0999755859375,21.96,0,0,0,100,0,0
1782396178.1214473,OK,0.0,0.0,64.2415316141291,-10.389286316526372,5.687067445526532,,,,1014.0999755859375,21.97,0,0,0,100,0,0
1782396178.2221413,OK,0.0,0.0,64.2474704267744,-10.391686070835586,5.689171472865903,,,,1014.199951171875,21.97,0,0,0,100,0,0
1782396178.3227777,OK,0.0,0.0,64.24848912028583,-10.40684074044937,5.690657513111048,,,,1013.199951171875,21.97,0,0,0,100,0,0
1782396178.423465,OK,0.0,0.0,64.24711995444477,-10.412549532811292,5.691037521598462,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396178.524206,OK,0.0,0.0,64.25170461153634,-10.415855250264146,5.696092709808838,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396178.6248755,OK,0.0,0.0,64.25593401443051,-10.422631925374107,5.70321607158579,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396178.7255557,OK,0.0,0.0,64.26357287248433,-10.415054045204,5.710785879982176,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396178.8262029,OK,0.0,0.0,64.27113382489144,-10.42637967711638,5.724893108134605,,,,1014.0,21.98,0,0,0,100,0,0
1782396178.9268775,OK,0.0,0.0,64.27313257013766,-10.414787333562206,5.720241880631861,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396179.0275483,OK,0.0,0.0,64.27430442264382,-10.402696623512766,5.716828421889655,,,,1014.199951171875,21.98,0,0,0,100,0,0
1782396179.1282482,OK,0.0,0.0,64.2675462385544,-10.416269279637499,5.714047223514545,,,,1014.0,21.97,0,0,0,100,0,0
1782396179.2289557,OK,0.0,0.0,64.26762961902179,-10.420804302234199,5.711550912765653,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396179.3296576,OK,0.0,0.0,64.26976950018496,-10.418139182089126,5.7110061294412535,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396179.4303775,OK,0.0,0.0,64.2699791355117,-10.41849295988191,5.71058522523679,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396179.5310364,OK,0.0,0.0,64.2710723598792,-10.418114353626027,5.709368975871741,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396179.6317034,OK,0.0,0.0,64.27471248912964,-10.419480703253884,5.709812331464089,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396179.7323668,OK,0.0,0.0,64.27455667029534,-10.422936190874186,5.708792842798079,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396179.8330324,OK,0.0,0.0,64.27407452879403,-10.417138288216913,5.708842050096663,,,,1013.8999633789062,21.98,0,0,0,100,0,0
1782396179.9336946,OK,0.0,0.0,64.27359334194674,-10.419949099723294,5.709611500343281,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396180.0343797,OK,0.0,0.0,64.27461920500475,-10.390577126270626,5.709858795653723,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396180.135058,OK,0.0,0.0,64.27642053133613,-10.416914506791976,5.710640973763046,,,,1013.5,21.97,0,0,0,100,0,0
1782396180.235691,OK,0.0,0.0,64.27503081335463,-10.428361454557322,5.710347022800938,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396180.3363538,OK,0.0,0.0,64.27585498682467,-10.42444332320511,5.7058228367898565,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396180.4374568,OK,0.0,0.0,64.2885756286097,-10.425904834898006,5.709411612480622,,,,1013.5,21.97,0,0,0,100,0,0
1782396180.5382805,OK,0.0,0.0,64.28482739573846,-10.418658071868427,5.70301987885178,,,,1014.0,21.97,0,0,0,100,0,0
1782396180.6389294,OK,0.0,0.0,64.2869230193516,-10.435882223752573,5.7086978430945345,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396180.7396011,OK,0.0,0.0,64.28964919554244,-10.422555712384195,5.709334548367914,,,,1014.199951171875,21.97,0,0,0,100,0,0
1782396180.8403172,OK,0.0,0.0,64.28845591737628,-10.41865432045002,5.708132758612347,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396180.9409814,OK,0.0,0.0,64.28889988770055,-10.41643267644651,5.707020311767088,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396181.0416296,OK,0.0,0.0,64.28654868635871,-10.417650730592301,5.705953773783802,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396181.1422498,OK,0.0,0.0,64.28879306701316,-10.412973466026983,5.709200821196021,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396181.242928,OK,0.0,0.0,64.28671034619728,-10.415008082452303,5.706900810699613,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396181.3435824,OK,0.0,0.0,64.28439375256342,-10.423321097243036,5.704837507205412,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396181.4442546,OK,0.0,0.0,64.28922093503719,-10.422171708971133,5.707287507548653,,,,1013.5,21.97,0,0,0,100,0,0
1782396181.5449278,OK,0.0,0.0,64.2885104790375,-10.411247874059233,5.707282873965111,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396181.6456356,OK,0.0,0.0,64.28786932865147,-10.42362202240976,5.708414850686456,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396181.74641,OK,0.0,0.0,64.28876863256242,-10.418047198982078,5.708110496467768,,,,1013.3999633789062,21.97,0,0,0,100,0,0
1782396181.8471296,OK,0.0,0.0,64.29013537498813,-10.41438712792573,5.708263837953764,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396181.9478195,OK,0.0,0.0,64.29106379700326,-10.414463663464618,5.708102874939969,,,,1014.0999755859375,21.96,0,0,0,100,0,0
1782396182.048531,OK,0.0,0.0,64.2914948907537,-10.415069604281529,5.708557577752417,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396182.149241,OK,0.0,0.0,64.29115214134826,-10.415874721656287,5.709335096492985,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396182.249968,OK,0.0,0.0,64.28986627120821,-10.416845876284102,5.708979008418796,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396182.350832,OK,0.0,0.0,64.28891384176396,-10.414263560830117,5.708254305288589,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396182.4515576,OK,0.0,0.0,64.28983824647224,-10.416323655168629,5.709010733342281,,,,1014.199951171875,21.97,0,0,0,100,0,0
1782396182.552331,OK,0.0,0.0,64.28998994422103,-10.415861794717934,5.708037693330544,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396182.6530385,OK,0.0,0.0,64.29070860041155,-10.415308479185459,5.705620632543703,,,,1014.0999755859375,21.97,0,0,0,100,0,0
1782396182.7536862,OK,0.0,0.0,64.29301288672109,-10.415291951447317,5.706357022885585,,,,1013.5,21.97,0,0,0,100,0,0
1782396182.854447,OK,0.0,0.0,64.29340366274562,-10.412896079661492,5.706515170056043,,,,1013.5999755859375,21.97,0,0,0,100,0,0
1782396182.9550781,OK,0.0,0.0,64.2940850313587,-10.415569391828408,5.706092726888353,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396183.055713,OK,0.0,0.0,64.29459919259017,-10.416380296718305,5.705770690305898,,,,1013.8999633789062,21.98,0,0,0,100,0,0
1782396183.1564062,OK,0.0,0.0,64.29466846227379,-10.415989468259575,5.705586507858979,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396183.2570899,OK,0.0,0.0,64.29243512840604,-10.418334757880002,5.704673453902184,,,,1014.0999755859375,21.97,0,0,0,100,0,0
1782396183.3577836,OK,0.0,0.0,64.28953890177497,-10.41537835817602,5.7012943031064,,,,1013.8999633789062,21.97,0,0,0,100,0,0
1782396183.458478,OK,0.0,0.0,64.29225817195781,-10.415974987493653,5.700802085022213,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396183.5591183,OK,0.0,0.0,64.29257929635774,-10.417087545349398,5.702014187663583,,,,1014.0,21.97,0,0,0,100,0,0
1782396183.6597826,OK,0.0,0.0,64.29423584179774,-10.418602982052107,5.700711006390408,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396183.7604434,OK,0.0,0.0,64.29505302746306,-10.417413384888086,5.7000209396530845,,,,1014.0999755859375,21.97,0,0,0,100,0,0
1782396183.8611157,OK,0.0,0.0,64.29568915390011,-10.417674714278093,5.700278472584372,,,,1014.0,21.97,0,0,0,100,0,0
1782396183.9617803,OK,0.0,0.0,64.2945832287722,-10.417855254793661,5.699892972994293,,,,1013.7999877929688,21.97,0,0,0,100,0,0
1782396184.0624528,OK,0.0,0.0,64.29482060007614,-10.41789502988218,5.699807028942532,,,,1014.0,21.97,0,0,0,100,0,0
1782396184.163128,OK,0.0,0.0,64.29174845228596,-10.42263310130072,5.697719610300007,,,,1013.699951171875,21.97,0,0,0,100,0,0
1782396184.2637904,OK,0.0,0.0,64.29422180049961,-10.421612735241592,5.697858501331017,,,,1013.8999633789062,21.97,0,0,0,100,0,0
