time,state,depth_m,hold_depth_m,yaw_deg,roll_deg,pitch_deg,battery_voltage_v,battery_current_a,battery_remaining_pct,pressure_hpa,pressure_temperature_c,stabilize,depth_hold_active,yaw_hold_active,gain_percent,control_timeout,mavlink_link_dead
1782397945.426474,OK,0.0,0.0,57.1436079955693,-55.77282350446956,14.903115613016398,,,,1018.5999755859375,22.91,0,0,0,100,0,0
1782397945.5271208,OK,0.0,0.0,57.1427921284226,-55.77469475925064,14.902352868892576,,,,1018.7999877929688,22.9,0,0,0,100,0,0
1782397945.6277778,OK,0.0,0.0,57.13925489362084,-55.77480574856041,14.902846333489908,,,,1018.5,22.9,0,0,0,100,0,0
1782397945.728429,OK,0.0,0.0,57.140941327519705,-55.775005629521594,14.901767062061609,,,,1018.699951171875,22.9,0,0,0,100,0,0
1782397945.8290806,OK,0.0,0.0,57.14335384619341,-55.7739812960001,14.900269104175262,,,,1018.3999633789062,22.91,0,0,0,100,0,0
1782397945.929725,OK,0.0,0.0,57.14529599915947,-55.77221299948192,14.901311571101862,,,,1018.5,22.91,0,0,0,100,0,0
1782397946.0303783,OK,0.0,0.0,57.14685655592652,-55.77142093775486,14.901839258460265,,,,1018.5,22.91,0,0,0,100,0,0
1782397946.131053,OK,0.0,0.0,57.14750061411995,-55.77180769463407,14.900750294168192,,,,1018.699951171875,22.9,0,0,0,100,0,0
1782397946.231747,OK,0.0,0.0,57.14555823570801,-55.77287522066187,14.900487000570502,,,,1018.7999877929688,22.9,0,0,0,100,0,0
1782397946.332385,OK,0.0,0.0,57.14259078507388,-55.77155325315688,14.902341521938016,,,,1018.3999633789062,22.91,0,0,0,100,0,0
1782397946.4330516,OK,0.0,0.0,57.14208698453499,-55.7705578066188,14.903443026246345,,,,1018.7999877929688,22.91,0,0,0,100,0,0
1782397946.5336998,OK,0.0,0.0,57.143538320697864,-55.77028691935023,14.902148131089902,,,,1018.7999877929688,22.9,0,0,0,100,0,0
1782397946.6343613,OK,0.0,0.0,57.14325463839915,-55.770875946611405,14.90231135022865,,,,1018.7999877929688,22.91,0,0,0,100,0,0
1782397946.7350693,OK,0.0,0.0,57.14282613416926,-55.77237418006106,14.902056834064716,,,,1018.5999755859375,22.91,0,0,0,100,0,0
1782397946.8359601,OK,0.0,0.0,57.14299255717525,-55.772458186658476,14.90297238529497,,,,1018.3999633789062,22.9,0,0,0,100,0,0
1782397946.9377513,OK,0.0,0.0,57.14259481185956,-55.77197528791136,14.903923709026015,,,,1019.0,22.91,0,0,0,100,0,0
1782397947.0384648,OK,0.0,0.0,57.143579453509666,-55.77156795674188,14.904183454421279,,,,1018.2999877929688,22.92,0,0,0,100,0,0
1782397947.1392,OK,0.0,0.0,57.142957555884806,-55.771405268683736,14.905877923618586,,,,1018.699951171875,22.91,0,0,0,100,0,0
1782397947.2399387,OK,0.0,0.0,57.143263818910974,-55.77072590671118,14.906930441347107,,,,1018.699951171875,22.91,0,0,0,100,0,0
1782397947.3405857,OK,0.0,0.0,57.14290040176585,-55.77003357940961,14.907404331465301,,,,1018.5999755859375,22.91,0,0,0,100,0,0
1782397947.4412575,OK,0.0,0.0,57.14385214380912,-55.77086069307047,14.906746492011113,,,,1018.5999755859375,22.91,0,0,0,100,0,0
1782397947.5418894,OK,0.0,0.0,57.14069758059843,-55.770791533133824,14.90860751237993,,,,1018.5,22.91,0,0,0,100,0,0
1782397947.642556,OK,0.0,0.0,57.14070350871723,-55.77253186233498,14.90637207351031,,,,1018.199951171875,22.91,0,0,0,100,0,0
