time,state,depth_m,hold_depth_m,yaw_deg,roll_deg,pitch_deg,pressure_hpa,pressure_temperature_c,stabilize,depth_hold_active,yaw_hold_active,gain_percent,control_timeout,mavlink_link_dead
1782464638.615814,OK,0.0,0.0,52.02787421258462,-74.01931431999336,4.823372335881378,1032.9000244140625,20.76,0,0,0,100,0,0
1782464638.7163994,OK,0.0,0.0,52.02535852438464,-74.0194909907386,4.823136671141618,1033.2999267578125,20.77,0,0,0,100,0,0
1782464638.8169878,OK,0.0,0.0,52.02232644399383,-74.01901399011257,4.823377092301341,1033.4000244140625,20.76,0,0,0,100,0,0
1782464638.9175909,OK,0.0,0.0,52.01769222398243,-74.0189780666411,4.823550109440637,1033.0,20.76,0,0,0,100,0,0
1782464639.018162,OK,0.0,0.0,52.01193641931983,-74.02026813534455,4.824537104094133,1033.0999755859375,20.76,0,0,0,100,0,0
1782464639.118813,OK,0.0,0.0,52.00694326501572,-74.02065503266226,4.824894477875377,1033.2999267578125,20.76,0,0,0,100,0,0
1782464639.2194872,OK,0.0,0.0,52.00319847050668,-74.01952919994295,4.823823864067679,1033.199951171875,20.76,0,0,0,100,0,0
1782464639.3201246,OK,0.0,0.0,52.00729405770321,-74.01803129882038,4.823259978036775,1033.0,20.76,0,0,0,100,0,0
1782464639.4206614,OK,0.0,0.0,52.01826117361252,-74.0176374396856,4.823200085783333,1033.0,20.77,0,0,0,100,0,0
1782464639.521217,OK,0.0,0.0,52.03060709554752,-74.0176437094434,4.822853537666426,1032.699951171875,20.77,0,0,0,100,0,0
1782464639.6217682,OK,0.0,0.0,52.03841644714915,-74.01929788484851,4.822079749735404,1033.4000244140625,20.76,0,0,0,100,0,0
1782464639.7223287,OK,0.0,0.0,52.044278585071154,-74.01972789745035,4.821252961693723,1032.9000244140625,20.77,0,0,0,100,0,0
